subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Holding AG,11217,Beratungsleistungen operative Unternehmensführung,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",06.02.2024
ÖBB-Holding AG,11217,Wir schließen mit Ihnen einen Rahmenvereinbarung über die in den,Horvath & Partner Management,79412000 Beratung im Bereich Finanzverwaltung,0,"74.520,00",31.01.2024
ÖBB-Holding AG,11217,Rechtsdatenbank - Rechtsdatenbank,MANZ'sche Verlags- und Universitätsbuchhandlung GmbH Key Account Management,79100000 Dienstleistungen im juristischen Bereich,1,"98.912,88",29.01.2024
ÖBB-Holding AG,11217,Reinigungsleistungen im ÖBB-Konzern (Unterhaltsreinigung österreichweit),Rahmenvereinbarung mit mehreren Unternehmen,"90911000 Wohnungs-, Gebäude- und Fensterreinigung",0,"1,00",26.01.2024
ÖBB-Holding AG,11217,Beratung at Fahrbegünstigung durch EY - Beratung at Fahrbegünstigung durch EY,Ernst & Young Steuerberatungsgesellschaft m.b.H. TAX Services,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1,"56.981,91",24.01.2024
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"75.500,21",19.01.2024
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"57.027,20",19.01.2024
ÖBB-Holding AG,11217,Beratungsleistungen Organisation,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",10.01.2024
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Georg Ebinger Gesellschaft m.b.H. Firmensitz,44423400 Schilder und Zubehör,4,"58.286,10",01.01.2024
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Bayer Schilder GmbH Zentrale,44423400 Schilder und Zubehör,4,"10.929,83",01.01.2024
