subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Immobilienmanagement,11090,"Klimaanlagen - Lieferung, Montage, Wartung und Störungsbehebung von Klimaanlagen",Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale,39717200 Klimageräte,4,"1,00",09.02.2023
ÖBB-Immobilienmanagement,11090,Instandhaltung Fahrtreppen Westbahnhof,KONE AG Zentrale,50750000 Wartung von Aufzugsanlagen,1,"274.148,00",01.02.2023
ÖBB-Immobilienmanagement,11090,Wartung HKLS-Anlagen - 4 Jahres Wartungsvertrag für Kälte- u. Klimaanlagen Praterstern 3,Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale,"45331000 Installation von Heizungs-, Lüftungs- und Klimaanlagen",3,"189.083,43",31.01.2023
ÖBB-Immobilienmanagement,11090,Bereitstellung und Betrieb von Multifunktionale Locker,Rudolf Kirner ERKA Metallwarenfabrik Gesellschaft m.b.H. Rudolf Kirner ERKA Metallwarenfabrik GmbH - Wien,63112100 Passagiergepäckabfertigung,3,"892.518,60",29.01.2023
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"330.472,00",23.01.2023
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"187.868,00",23.01.2023
ÖBB-Immobilienmanagement,11090,Wartung HKLS-Anlagen - 4 Jahres Wartungsvertrag für Lüftungs- BRE- u. DBA-Anlagen Praterstern 3,GETEC Anlagenbau GmbH kalkulation,45331210 Installation von Lüftungsanlagen,4,"53.448,80",12.01.2023
ÖBB-Immobilienmanagement,11090,Betrieb von Shared Office im Bahnhofsbereich,andys coworking company GmbH Zentrale,70330000 Immobilienverwaltung gegen Einzelhonorar oder auf Vertragsbasis,1,"760,00",12.01.2023
ÖBB-Immobilienmanagement,11090,Bestückung von Gegenständen mit RFID/NFC-Tags inkl. Datenmanagement,,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",,,22.11.2022
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"320.089,10",21.11.2022
ÖBB-Immobilienmanagement,11090,Instandhaltung von Aufzugsanlagen,Otis Gesellschaft m.b.H.,50750000 Wartung von Aufzugsanlagen,0,"320.089,03",21.11.2022
ÖBB-Immobilienmanagement,11090,IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0,"1,00",14.10.2022
ÖBB-Immobilienmanagement,11090,Betrieb von Shared Office im Bahnhofsbereich,,70330000 Immobilienverwaltung gegen Einzelhonorar oder auf Vertragsbasis,,,04.10.2022
ÖBB-Immobilienmanagement,11090,"Grundwassersicherung, ÖBB Liegenschaft Brunnerstraße 72-74, 1230 Wien KG Liesing, Grundstücksnr: 341/25, 341/26, 341/27, 341/63, 341/80 -  Planung, Errichtung, Betrieb, Wartung Grundwassersicherungsanlage",TERRA Umweltechnik GmbH Zentrale,90733900 Behandlung oder Sanierung von Grundwasserverschmutzung,1,"200.307,03",21.09.2022
ÖBB-Immobilienmanagement,11090,16396 Unterwerk Gebäude St. Michael SMT 99130 - Dachdecker- und Spenglerarbeiten,Fuchs Wolfgang GmbH Zentrale,45261213 Blechdachdeckarbeiten,1,"55.275,75",16.09.2022
ÖBB-Immobilienmanagement,11090,Sanierung P+R Anlage Straßwalchen - Tiefbauarbeiten,Felbermayr Bau GmbH & Co KG Tiefbau / Infrastruktur / Betonbau / Erdbau - Sbg,45200000 Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten,5,"183.696,86",23.08.2022
ÖBB-Immobilienmanagement,11090,IM2107 Erneuerung Wasserturm Wien Nord - Generalplanerleistungen,Riepl Kaufmann Bammer Architektur GbR Architektur,71221000 Dienstleistungen von Architekturbüros bei Gebäuden,4,"300.090,26",16.08.2022
ÖBB-Immobilienmanagement,11090,Instandhaltung und Überprüfung von Gasanlagen und gasbefreuerten Heizungsanlagen,,50531200 Wartung von Gasverbrauchseinrichtungen,,,04.08.2022
ÖBB-Immobilienmanagement,11090,Bereitstellung und Betrieb von Multifunktionale Locker,,63112100 Passagiergepäckabfertigung,,,27.07.2022
ÖBB-Immobilienmanagement,11090,"Baufeldfreimachung ""Nordwestbahnhof"" - Schad- und Störstofferkundung",ESW Consulting Wruss Ziviltechniker GmbH ESW Consulting Wruss ZT GmbH,71240000 Dienstleistungen von Architektur- und Ingenieurbüros sowie planungsbezogene Leistungen,1,"208.302,65",25.07.2022
