subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,EnergieDirect Austria GmbH NL St. Pölten,09134220 Dieselkraftstoff (EN 590),8,"6.463.294,50",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,Kreuzmayr GmbH Zentrale,09134220 Dieselkraftstoff (EN 590),8,"4.377.174,85",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Dieselkraftstoff EN 590 und HVO100 EN 15940 im Straßentankwagen,Leikermoser Energiehandel GmbH Handel,09134220 Dieselkraftstoff (EN 590),8,"16.836.659,02",01.04.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,EBICS Adapter inkl. Wartung,UIIT Solutions GmbH Geschäftsführung,48000000 Softwarepaket und Informationssysteme,1,"90.160,00",31.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Küchen für das ÖBB-Wohnprogramm,Rahmenvereinbarung mit mehreren Unternehmern,39141000 Küchenmöbel,4,"1,00",28.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Atlassian 2025+ (Produkte und Dienstleistungen),Rahmenvereinbarung mit mehreren Unternehmern,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1,00",25.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Standardsoftware ARP Postbus,T-Systems Austria GesmbH Sales Operations,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"6.449.241,00",25.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,NINTEX Workflow Komponenten,smartpoint dataformers GmbH Zentrale Linz,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"82.921,30",18.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Handwerkzeugen und artverwandten Produkten,Spiral Reihs & Co. KG Zentrale,44511000 Handwerkzeug,4,"4.719.807,94",18.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,EUR-Paletten und Tauschrahmen aus Holz,,44143000 Paletten,,,13.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"T-Systems Austria GesmbH, Sales Operations","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"2.347.212,00",13.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Speditionsleistungen,,60000000 Transport- und Beförderungsdienstleistungen (außer Abfalltransport),,,12.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Speditionsleistungen,,60000000 Transport- und Beförderungsdienstleistungen (außer Abfalltransport),,,12.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Kühlartikel,PERVORMANCE international GmbH PERVORMANCE international GmbH,18130000 Spezial-Arbeitskleidung,2,"1,00",12.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Onbord Portal,,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",,,12.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Geotextilien (Vliese als Trenn- und Filterschicht bzw. Geogitter) für den Bahnbau,,19270000 Vliesstoffe,,,05.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Vertragsabbildung ProVia  4600025128 e-Rechnung Clearling Service (ERC),XXX,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1,00",04.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Fertigung und Lieferung von Grabenmauer - Fertigteilen,,44200000 Bauerzeugnisse,,,03.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Fertigung und Lieferung von Betonkabeltrögen inkl. Deckel,,44114200 Betonerzeugnisse,,,03.03.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Pilotprojekt Kreislaufwirtschaft Uniformen - Pilotprojekt Kreislaufwirtschaft Uniformen,TURNS GmbH Zentrale,"90000000 Abwasser- und Abfallbeseitigungs-, Reinigungs- und Umweltschutzdienste",2,"89.792,00",27.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Oberleitung > Oberleitungsbauteile für ÖBB-Oberleitungsanlagen (Metallerzeugnisse),,31600000 Elektrische Ausrüstung,,,27.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Manueller Winterdienst im Gleisbereich, Region Süd",Rahmenvereinbarung mit mehreren Unternehmern,90620000 Schneeräumung,4,"4.929.694,80",26.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Gründienst 2025ff,Rahmenvereinbarung mit mehreren Unternehmern,77314000 Grundstückspflege,24,"21.884.006,54",26.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Heizöl,"Paul RUDOLF GmbH Transportunternehmen, Mineralölhandel, Pellets, Sand, Kies, Schotter",09135000 Heizöle,3,"491.547,12",25.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Flurförderzeuge,,42415110 Gabelstapler,,,24.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SCO Listen (Sanctions Control Ownership),Dow Jones / Factiva Limited Risk & Compliance,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"67.104,00",19.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Komposit-Isolatoren,,44111511 Elektroisolatoren,,,19.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Edelstahlblechen,Kloeckner Metals Austria GmbH & Co KG Verkauf,14622000 Stahl,4,"344.799,98",17.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Federkappen komplett für DRG TVP 2007,"TATRAVAGONKA, a.s. Güterwagenhersteller",34631000 Teile für Lokomotiven oder rollendes Material,1,"124.000,00",14.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung (und eventuell erforderliche Entwicklung) von Zugfunkprüfgeräten,,32250000 Mobilfunkgeräte,,,13.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung von Drehstühlen,,39113100 Sessel,,,12.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rahmenvereinbarung FLSEIL8 inkl. Support und Anpassungen,Schwarz Energietechnik und Geoinformatik GmbH Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"370.827,19",10.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Dienstleistungen zur Implementierung von ServiceNow und Third-Party-Applications,,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",,,06.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"Capgemini Consulting Österreich AG, Capgemini Austria","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"393.400,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"SAP - Consulting Fraud Management, SAP BW & BO","Eviden Austria GmbH, Zentrale","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",8,"1.708.362,50",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"""System Software Consult/R"" EDV- Beratungs- und Dienstleistungs GmbH, System Software Consult/R EDV- Beratungs- und Dienstleistungs GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"527.720,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"active business consult Informationstechnologie GmbH, active business consult Informationstechnologie GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"6.639.535,80",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"active business consult Informationstechnologie GmbH, active business consult Informationstechnologie GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"834.002,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"active business consult Informationstechnologie GmbH, active business consult Informationstechnologie GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"198.500,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"active business consult Informationstechnologie GmbH, active business consult Informationstechnologie GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"528.620,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,SAP - Consulting,"active business consult Informationstechnologie GmbH, active business consult Informationstechnologie GmbH","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",15,"1.526.185,00",05.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,"Chemische Komponenten (Kleber, Dichtmassen, Schmiermittel etc.)",Rahmenvereinbarung mit mehreren Unternehmern,24000000 Chemische Erzeugnisse,4,"1,00",04.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Lieferung und Revision Kraftwerks- und Unterwerkstransformatoren,,31170000 Transformatoren,,,04.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Sicherheitszylinderschließanlagen und Erweiterungen,EVVA Sicherheitstechnologie GmbH Schließanlage,"44520000 Schlösser, Schlüssel und Scharniere",1,"1.450.227,28",03.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rahmenvertrag Baumeister Hochbau für ordentliche Hausverwaltung,RHT Bau Hochbau,45210000 Bauleistungen im Hochbau,11,"681.491,26",03.02.2025
ÖBB Holding AG mit allen verbundenen Unternehmen,11074,Rahmenvertrag Baumeister Hochbau für ordentliche Hausverwaltung,Bietergemeinschaft bestehend aus: Leyrer + Graf Baugesellschaft m.b.H. Zentrale / Firmenhauptsitz;Jägerbau GesmbH Zentrale,45210000 Bauleistungen im Hochbau,11,"832.636,29",03.02.2025
